# Structure from AMSCIFDB, AMS_ID: 1523590     Feff8L (EXAFS)       0.1      
# Mineral Name: <missing>
# Journal:   Zeitschrift f\"ur Elektrochemie und angewandte physikalische Chemie
# Authors: Esch, U., Schneider, A.
# Title1:   Das System Nickel-Platin
# Formula:    Ni0.5Pt0.5
# SpaceGroup: Fm-3m
# # sites:    1
# POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=78 Rmt= 1.402 Rnm= 1.437 L3 shell
# Pot 1 Z=28 Rmt= 1.410 Rnm= 1.447
# Pot 2 Z=78 Rmt= 1.420 Rnm= 1.459
# Gam_ch=5.171E+00 H-L exch
# Mu=-4.554E+00 kf=2.071E+00 Vint=-2.089E+01 Rs_int= 1.751
# PATH  Rmax= 7.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000                                        Global_sig2= 0.00000
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      7.00     2   2.6517
#           2       0.00000     68.27      5.00     2   2.6517
#           3       0.00000     24.34      4.00     2   3.7500
#           4       0.00000     14.16      2.00     2   3.7500
#           5       0.00000      4.39     14.00     3   3.9775
#           6       0.00000      9.21     28.00     3   3.9775
#           8       0.00000     37.95     11.00     2   4.5928
#           9       0.00000     55.09     13.00     2   4.5928
#          11       0.00000      7.81     28.00     3   4.9480
#          12       0.00000      4.87     24.00     3   4.9480
#          13       0.00000      6.42     32.00     3   4.9480
#          14       0.00000     10.82     20.00     3   4.9480
#          15       0.00000     14.06     20.00     3   4.9480
#          16       0.00000     13.33      6.00     2   5.3033
#          17       0.00000     16.97      6.00     2   5.3033
#          19       0.00000      5.02      6.00     3   5.3033
#          21       0.00000     31.86     10.00     3   5.3033
#          22       0.00000     14.45      4.00     3   5.3033
#          23       0.00000     10.67      2.00     3   5.3033
#          24       0.00000     49.15      8.00     3   5.3033
#          25       0.00000      8.91      4.00     4   5.3033
#          26       0.00000     10.46      6.00     4   5.3033
#          27       0.00000      4.76      2.00     4   5.3033
#          30       0.00000     26.65      5.00     4   5.3033
#          31       0.00000     11.29      2.00     4   5.3033
#          33       0.00000     13.32      1.00     4   5.3033
#          34       0.00000     54.25      4.00     4   5.3033
#          35       0.00000     17.05     11.00     2   5.9293
#          36       0.00000     26.39     13.00     2   5.9293
#          40       0.00000      4.21     10.00     3   6.1655
#          42       0.00000      5.81     12.00     3   6.1655
#          45       0.00000      7.65      5.00     2   6.4952
#    32/  41 paths used
#  xsedge+50, used to normalize mu           3.9077E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
   11695.809    125.833   5.850  8.93056E-01  9.14046E-01 -2.28496E-02
   11698.047    128.072   5.900  8.86748E-01  9.13473E-01 -2.91260E-02
   11700.305    130.329   5.950  8.79849E-01  9.12899E-01 -3.60610E-02
   11702.581    132.606   6.000  8.72184E-01  9.12326E-01 -4.38495E-02
   11704.877    134.901   6.050  8.63989E-01  9.11841E-01 -5.23190E-02
   11707.191    137.216   6.100  8.56469E-01  9.11356E-01 -6.00644E-02
   11709.525    139.549   6.150  8.51183E-01  9.10871E-01 -6.53778E-02
   11711.877    141.902   6.200  8.49825E-01  9.10386E-01 -6.63950E-02
   11714.249    144.274   6.250  8.53803E-01  9.09901E-01 -6.15577E-02
   11716.640    146.664   6.300  8.63823E-01  9.09417E-01 -5.00757E-02
   11719.050    149.074   6.350  8.79576E-01  9.08932E-01 -3.22711E-02
   11721.479    151.503   6.400  8.99628E-01  9.08447E-01 -9.70359E-03
   11723.926    153.951   6.450  9.21564E-01  9.07962E-01  1.49806E-02
   11726.393    156.418   6.500  9.42376E-01  9.07477E-01  3.84695E-02
   11728.879    158.904   6.550  9.59283E-01  9.06971E-01  5.77039E-02
   11731.385    161.409   6.600  9.69335E-01  9.06464E-01  6.93971E-02
   11733.909    163.933   6.650  9.71185E-01  9.05958E-01  7.20465E-02
   11736.452    166.476   6.700  9.64998E-01  9.05452E-01  6.58173E-02
   11739.014    169.039   6.750  9.52446E-01  9.04946E-01  5.25387E-02
   11741.595    171.620   6.800  9.36353E-01  9.04439E-01  3.53225E-02
   11744.196    174.220   6.850  9.20078E-01  9.03933E-01  1.78813E-02
   11746.815    176.839   6.900  9.06763E-01  9.03427E-01  3.69757E-03
   11749.453    179.478   6.950  8.98629E-01  9.02920E-01 -4.75940E-03
   11752.111    182.135   7.000  8.96486E-01  9.02414E-01 -6.57955E-03
   11754.787    184.812   7.050  8.99539E-01  9.01838E-01 -2.55268E-03
   11757.483    187.507   7.100  9.05708E-01  9.01261E-01  4.94036E-03
   11760.198    190.222   7.150  9.12028E-01  9.00685E-01  1.26096E-02
   11762.931    192.956   7.200  9.15527E-01  9.00108E-01  1.71503E-02
   11765.684    195.708   7.250  9.13990E-01  8.99532E-01  1.60903E-02
   11768.456    198.480   7.300  9.06510E-01  8.98955E-01  8.41212E-03
   11771.246    201.271   7.350  8.93711E-01  8.98379E-01 -5.20019E-03
   11774.056    204.081   7.400  8.77581E-01  8.97802E-01 -2.25410E-02
   11776.885    206.910   7.450  8.60977E-01  8.97226E-01 -4.04298E-02
   11779.733    209.758   7.500  8.46939E-01  8.96649E-01 -5.54736E-02
   11782.600    212.625   7.550  8.37993E-01  8.96084E-01 -6.48553E-02
   11785.486    215.511   7.600  8.35771E-01  8.95519E-01 -6.67341E-02
   11788.391    218.416   7.650  8.40420E-01  8.94954E-01 -6.09378E-02
   11791.316    221.340   7.700  8.50826E-01  8.94388E-01 -4.87000E-02
   11794.259    224.283   7.750  8.64995E-01  8.93823E-01 -3.22420E-02
   11797.221    227.246   7.800  8.80592E-01  8.93258E-01 -1.41727E-02
   11800.202    230.227   7.850  8.95482E-01  8.92693E-01  3.12185E-03
   11803.203    233.227   7.900  9.08146E-01  8.92128E-01  1.79389E-02
   11806.222    236.247   7.950  9.17864E-01  8.91562E-01  2.94691E-02
   11809.261    239.285   8.000  9.24661E-01  8.90997E-01  3.77340E-02
   11812.318    242.343   8.050  9.29146E-01  8.90453E-01  4.33908E-02
   11815.395    245.419   8.100  9.31860E-01  8.89909E-01  4.70673E-02
   11818.490    248.515   8.150  9.33288E-01  8.89364E-01  4.93025E-02
   11821.605    251.629   8.200  9.33519E-01  8.88820E-01  5.01954E-02
   11824.739    254.763   8.250  9.32222E-01  8.88276E-01  4.93735E-02
   11827.891    257.916   8.300  9.28798E-01  8.87732E-01  4.61590E-02
   11831.063    261.088   8.350  9.22640E-01  8.87187E-01  3.98678E-02
   11834.254    264.279   8.400  9.13433E-01  8.86643E-01  3.01402E-02
   11837.464    267.488   8.450  9.01379E-01  8.86099E-01  1.71987E-02
   11840.693    270.717   8.500  8.87287E-01  8.85555E-01  1.95097E-03
   11843.941    273.965   8.550  8.72371E-01  8.85011E-01 -1.42409E-02
   11847.208    277.233   8.600  8.58402E-01  8.84468E-01 -2.93822E-02
   11850.494    280.519   8.650  8.47043E-01  8.83925E-01 -4.15952E-02
   11853.799    283.824   8.700  8.39587E-01  8.83381E-01 -4.94162E-02
   11857.123    287.148   8.750  8.36684E-01  8.82838E-01 -5.21045E-02
